"","id","eid","startX","startY","endX","endY","time","success","distance","angle","boxSize","w"
"233",3,4,490,243,445,581,480,TRUE,340.9824042,"97.58353954",100,100.882368117783
"234",3,4,445,581,649,335,386,TRUE,319.5809757,"-50.33215888",100,129.910965713032
"235",3,4,649,335,796,75,346,TRUE,298.6787572,"-60.51685009",100,114.87644507529
"236",3,4,796,75,593,235,314,TRUE,258.4743701,"141.7556221",100,NA
"237",3,4,593,235,283,328,451,TRUE,323.6495018,"163.3007558",100,NA
"238",3,4,283,328,780,387,512,TRUE,500.4897601,"6.770028453",100,NA
"239",3,4,780,387,391,683,539,TRUE,488.8118247,"142.7315702",100,NA
"240",3,4,391,683,171,1115,579,TRUE,484.7927392,"116.9878906",100,112.220541486008
"241",3,4,171,1115,322,702,583,TRUE,439.7385587,"-69.91670667",100,106.474227286056
"242",3,4,322,702,304,168,544,TRUE,534.3032847,"-91.93058744",100,100.056794880419
"243",3,4,304,168,83,390,455,TRUE,313.2491022,"134.8706644",50,70.551599584131
"244",3,4,83,390,54,75,481,TRUE,316.332104,"-95.26002222",50,50.2114450740796
"245",3,4,54,75,265,314,458,FALSE,318.8134251,"48.56048053",50,66.6973692599102
"246",3,4,54,75,238,316,0,FALSE,303.2111476,"52.63879175",50,62.9068770855454
"247",3,4,530,384,820,423,487,TRUE,292.6106628,"7.659340472",50,NA
"248",3,4,820,423,502,755,770,FALSE,459.7260054,"133.7661278",50,69.2358441800246
"249",3,4,820,423,472,765,0,FALSE,487.9221249,"135.4982116",50,71.3336439961824
"250",3,4,40,514,474,249,499,TRUE,508.5086037,"-31.40820054",50,NA
"251",3,4,474,249,612,759,596,TRUE,528.3407991,"74.85901616",50,51.7981175594148
"252",3,4,612,759,790,1186,450,TRUE,462.615391,"67.37060799",50,54.1704204930584
"253",4,1,365,613,745,362,215,TRUE,455.4129994,"-33.44581172",220,NA
"254",4,1,745,362,513,816,233,TRUE,509.8431131,"117.0676328",220,247.060539399309
"255",4,1,513,816,265,424,291,TRUE,463.8620485,"-122.3196165",220,260.330741481741
"256",4,1,265,424,541,816,266,TRUE,479.4163118,"54.85132734",220,269.060174978139
"257",4,1,541,816,241,395,309,TRUE,516.9535763,"-125.4732571",220,270.142011343223
"258",4,1,241,395,697,428,278,TRUE,457.1925196,"4.139189256",220,NA
